region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Hungary,2020-06-04,0.7798218408841741,0.8394072065101124,0.12794486209280054,1.2747273324840696,0.6915312443419784,1.0666071348949917
Hungary,2020-06-05,0.7608645754864897,0.8113538588590751,0.21918780218098355,1.3505951850680067,0.6161674487771438,0.9995717996539666
Hungary,2020-06-06,0.7631520826933036,0.8177516503872325,0.15822526660863312,1.3447945155055399,0.6700299116659745,1.0463629610629004
Hungary,2020-06-07,0.7573801287508687,0.8210887291318985,0.04853165752363997,1.2973999783154009,0.6693843953638471,1.0611638405774393
Hungary,2020-06-08,0.7665308482652268,0.8181453185933989,0.13694892107112067,1.3109336039465456,0.6745655141423138,1.0676086420306397
Hungary,2020-06-09,0.7871788396260628,0.8308733656687581,0.20061183912744318,1.3668169564395831,0.6960884980138267,1.0824052459190028
Hungary,2020-06-10,0.8129305662479801,0.8459681324650514,0.28159368035097687,1.3917509563779613,0.6562477603304866,1.0355270588087484
Hungary,2020-06-11,0.8213827233734163,0.87066375189588,0.27003640639699333,1.3867249277958122,0.7432563362761082,1.1097951838494522
Hungary,2020-06-12,0.8236267370704569,0.8745845336693404,0.21664155982702205,1.3177314776574525,0.7306139945983068,1.092033689524625
Hungary,2020-06-13,0.824531933436923,0.8835765911580897,0.20207380589930757,1.3955393117100274,0.7576682649401218,1.141796751584915
Hungary,2020-06-14,0.8341991124087205,0.8754784314794299,0.2686174457889632,1.483796932499783,0.7530716733689415,1.1366220879949251
Hungary,2020-06-15,0.8484466260583987,0.8943312795447895,0.21033759794395157,1.4569748960606743,0.7225149565961646,1.1145307977677037
Hungary,2020-06-16,0.8791488839480773,0.9144562318486498,0.21733676250494638,1.4808195767970238,0.7308878018386584,1.126495638796215
Hungary,2020-06-17,0.9092740087372135,0.9399444768413685,0.27849199075889985,1.4835649505233195,0.7806763069134419,1.1831452473421222
Hungary,2020-06-18,0.9207536942486227,0.9389649115418965,0.32342375108919186,1.5769611589366768,0.7226964747708269,1.13276430033579
Hungary,2020-06-19,0.9443466638065532,0.9680272954051137,0.257775568656857,1.5494528509691565,0.7382943145839973,1.1492460683150207
Hungary,2020-06-20,0.9675403557939838,0.9688385733767213,0.3933733715795845,1.6325767136531817,0.801317386924969,1.2073391666011188
Hungary,2020-06-21,0.9711012377859388,0.9969016747049986,0.36200974990064205,1.602862949155896,0.8311388112992603,1.2156626240109838
Hungary,2020-06-22,0.9860252905639488,0.9916230130821942,0.41322916196355286,1.606736332540187,0.848174438736083,1.2375797830825161
Hungary,2020-06-23,1.003777816771277,1.0041873151355984,0.4553321858010002,1.6610466311819176,0.8116459109309291,1.1858414730862203
Hungary,2020-06-24,1.0258873054778779,1.0202653364300658,0.46025247801031766,1.6899837292977589,0.8222723163359711,1.1838140144779505
Hungary,2020-06-25,1.0455821381432835,1.0298948154079988,0.5042489652234106,1.7242266427393016,0.869301715156567,1.2516999500377202
Hungary,2020-06-26,1.053294652792073,1.040461552348748,0.40983595471367407,1.639404153559655,0.8474265812907227,1.2265216623557242
Hungary,2020-06-27,1.073487436898041,1.0451369987927221,0.46205611334681707,1.7031244337309508,0.8305713669276987,1.2431048663713482
Hungary,2020-06-28,1.076931163131316,1.0514636422246073,0.5027995017050586,1.7846066282006685,0.8489371973004781,1.2721534203107114
Hungary,2020-06-29,1.0943751488079683,1.066527641358702,0.4970525547451101,1.7593165913065685,0.8471683515554075,1.240652062294982
Hungary,2020-06-30,1.1058892371768476,1.0793009463161292,0.5052155752087111,1.799610799499428,0.8632734885984176,1.274875532799824
